Status,Flyer,Title,Date,Venue,DJ,DJ Fee,Contract Signed?,DJ Deposit,DJ Paid in Full,Hotel Confirmation,Hotel Check-in,Hotel Check-out
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2024/01/Screenshot-2024-01-13-174357-jpg.webp","Boys of Hallows Eve","10/27/2017","Bike Stop","DJ Kirk",,"False",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2024/01/32072754_10156358078543524_8375506979652632576_n-jpg.webp","MASC","5/12/2018","Bike Stop","DJ Kirk",,"False",,,,,
,"https://bosphilly.com/wp-content/uploads/2018/08/37800365_10156548655803524_1533519374411890688_o1-150x150.jpg","FREAQ","8/4/2018","Voyeur","DJ Kirk",,"False",,,,,
,"https://bosphilly.com/wp-content/uploads/2024/01/gear-jpg.webp","FREAQ - Gear Party","8/13/2018","Bike Stop","DJ Lili St Queer",,"False",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2021/03/42551557_2361290193911244_2168007454166614016_o1-150x150.jpg","Goldlust","10/6/2018","Trocadero","DJ Stephen Durkin",,"False",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2018/10/42918020_10156713956248524_5949112871324483584_o1-150x150.jpg","Thriller","10/26/2018","Bike Stop","DJ Lili St Queer",,"False",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2021/03/1-6-1024x680.jpg","BOS VIP","12/28/2018","Voyeur","DJ Kirk",,"False",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2019/01/50248163_10156959342458524_6939748602860273664_o1-150x150.jpg","LTHR","1/17/2019","Bike Stop","DJ Night Owl",,"False",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2021/03/52016064_10157040135668524_8282408989371662336_o1-150x150.jpg","HRC After Dark","3/9/2019","Concourse","DJ Chris B",,"False",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2021/03/56410963_10157153549263524_2799502195119095808_o1-150x150.jpg","STEAM'D","4/27/2019","Bike Stop","DJ Kirk",,"False",,,,,
